#Activity	standing 
#ActivityID	8 
#Date 09-09-18-15
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11756	-2056	10660	-11	18	-17	-15640	-3912	-2032	4	14	-2	-15712	-680	-4120	18	-3	24	-12304	4528	10156	138	-38	-136	-16504	-2464	-1012	140	55	129	-16032	1484	-2512	206	101	46	126	127	8
-11788	-2072	10720	-10	17	-23	-15600	-3688	-2064	-2	4	-3	-15720	-656	-4032	20	-2	30	-12284	4528	10204	117	12	-133	-16400	-2460	-1056	99	63	120	-16036	1472	-2408	240	80	18	127	127	8
-11788	-2060	10788	-4	16	-27	-15472	-3736	-2272	-2	7	-2	-15640	-528	-4080	14	-3	26	-12236	4436	10320	121	-35	-137	-16452	-2520	-1112	91	-1	137	-16056	1492	-2564	218	33	5	126	127	8
-11736	-2072	10688	-3	17	-23	-15520	-3784	-2096	1	4	-6	-15600	-624	-4208	10	-7	23	-12284	4528	10324	119	-52	-80	-16468	-2468	-1128	76	7	116	-16012	1428	-2532	142	60	8	125	128	8
-11780	-2064	10612	-9	18	-23	-15560	-3888	-2216	5	0	-7	-15760	-800	-4072	12	-7	17	-12224	4468	10184	113	-61	-140	-16416	-2428	-1144	112	5	93	-16024	1464	-2512	177	1	-8	125	128	8
-11736	-2076	10716	-12	16	-21	-15464	-3816	-2376	5	6	-10	-15688	-520	-4208	10	-13	16	-12248	4532	10204	117	-75	-143	-16452	-2496	-1160	58	15	147	-16064	1424	-2468	172	17	7	126	128	8
-11768	-2064	10656	-7	17	-24	-15680	-3824	-2040	-2	-2	-8	-15680	-680	-4088	0	-9	16	-12304	4540	10268	146	-28	-145	-16464	-2484	-1028	80	6	160	-16108	1408	-2532	187	29	-3	126	127	8
-11788	-2100	10592	-11	13	-25	-15728	-3912	-2056	0	-3	-8	-15696	-672	-4240	-2	-9	15	-12304	4528	10308	111	5	-147	-16412	-2488	-1144	53	-32	116	-16084	1468	-2504	128	31	9	126	127	8
-11788	-2056	10704	-12	20	-25	-15632	-3784	-2016	2	-3	-7	-15704	-672	-4248	-2	-10	16	-12264	4520	10260	91	-23	-127	-16416	-2492	-1112	90	-23	105	-16016	1484	-2544	172	46	-19	127	128	8
-11736	-2088	10640	-15	15	-27	-15544	-3816	-2128	-2	-5	-9	-15696	-656	-4032	-3	-17	16	-12272	4500	10320	121	-33	-132	-16428	-2472	-1040	59	-2	128	-15996	1464	-2532	166	27	17	125	128	8
