#Activity	standing 
#ActivityID	8 
#Date 09-24-16-00
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7248	-2916	13884	-61	102	-197	-16500	852	-2372	160	23	171	-16148	2440	-1516	262	-37	41	-8492	2308	14284	116	-20	-131	-15584	1076	-4472	2	-35	-21	-16232	-496	-1232	88	-153	214	127	127	8
-7256	-3004	13976	-48	146	-196	-16460	828	-2488	168	0	162	-16140	2508	-1632	254	-1	37	-8508	2228	14408	100	-79	-172	-15584	1060	-4412	-43	-40	3	-16208	-456	-1128	54	-200	159	127	127	8
-7232	-2988	13900	-53	137	-246	-16452	880	-2436	171	-8	165	-16140	2528	-1608	229	-24	59	-8540	2252	14380	119	-62	-150	-15584	920	-4508	10	-49	-8	-16240	-520	-1056	47	-185	233	127	128	8
-7308	-3032	13936	-40	153	-181	-16524	832	-2516	142	1	144	-16092	2532	-1668	216	-31	34	-8536	2240	14324	112	-100	-133	-15596	1028	-4372	15	-24	-33	-16216	-468	-1064	9	-143	223	127	129	8
-7296	-2960	13904	-100	125	-177	-16476	912	-2436	118	15	165	-16128	2488	-1752	195	-1	38	-8448	2280	14336	143	-40	-155	-15688	1024	-4416	-32	0	17	-16252	-384	-1048	85	-111	163	127	126	8
-7240	-2972	13988	-58	141	-196	-16484	828	-2484	63	-39	151	-16024	2500	-1696	174	-26	-7	-8516	2220	14256	123	-21	-166	-15624	1016	-4416	-108	20	-10	-16284	-452	-1240	19	-93	164	127	127	8
-7292	-2940	13960	-61	117	-182	-16460	864	-2500	68	-27	157	-16056	2524	-1672	113	-12	29	-8524	2224	14288	122	-22	-177	-15592	988	-4520	-23	-36	-4	-16232	-452	-1432	25	-154	142	127	126	8
-7268	-2940	13956	-74	129	-195	-16436	820	-2428	41	-31	167	-16088	2500	-1556	84	-41	23	-8552	2272	14324	97	-23	-176	-15524	952	-4512	19	-15	-21	-16196	-460	-1388	46	-122	149	127	126	8
-7264	-3044	13928	-114	148	-233	-16456	816	-2352	36	-54	153	-16064	2396	-1608	110	-74	76	-8520	2232	14356	128	-68	-141	-15636	1036	-4464	9	-39	-33	-16220	-496	-1288	-53	-208	195	127	124	8
-7208	-2916	13940	-84	139	-212	-16452	840	-2404	99	-39	179	-16144	2464	-1620	191	-68	33	-8428	2268	14312	110	-52	-108	-15596	1016	-4388	-67	-4	-40	-16308	-528	-1180	10	-222	152	127	128	8
-7260	-3024	13888	-71	148	-201	-16488	884	-2548	130	-18	148	-16112	2484	-1648	253	-23	28	-8460	2252	14292	117	-131	-150	-15648	976	-4368	-71	-1	-51	-16384	-544	-1128	48	-272	124	127	124	8
-7272	-3012	13872	-86	126	-205	-16528	900	-2556	144	-5	154	-16124	2428	-1668	250	23	37	-8524	2304	14376	121	-31	-173	-15668	984	-4540	0	-54	-6	-16464	-524	-1156	312	-556	48	127	127	8
-7236	-2984	13980	-89	136	-210	-16428	900	-2512	104	-35	150	-16068	2516	-1684	237	-17	49	-8408	2268	14428	139	-20	-137	-15672	924	-4436	143	-60	16	-16220	-440	-1240	401	-631	34	127	126	8
