#Activity	sitting in car 
#ActivityID	12 
#Date 09-19-15-59
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-6900	-5636	14568	34	-25	-7	-15752	-4856	2024	-5	-5	17	3792	-4120	16248	54	-4	4	-4472	5992	13864	-4	6	-18	-14448	9448	424	-52	-16	82	736	3744	16480	26	-25	-4	126	135	12
-7016	-6044	14608	42	-24	-6	-16192	-4680	1504	46	-11	16	3784	-3960	16200	58	-23	-7	-4208	7048	14184	-11	17	-28	-14776	8744	440	-12	-10	67	952	4008	16344	23	-60	-4	124	135	12
-6144	-5516	14224	20	-12	-10	-15048	-4232	2312	-28	-23	37	4512	-3768	15328	61	-18	-6	-4104	5848	13624	27	26	-16	-14272	8568	712	38	-26	34	1640	4112	16016	19	-56	-4	123	139	12
-6636	-5452	13152	14	-2	-20	-13984	-4528	1816	5	-12	31	4536	-3336	15104	41	6	-5	-4504	6216	13784	39	22	-7	-13232	8752	296	61	-20	32	1736	4072	15880	25	-10	0	123	139	12
-6272	-6060	13596	25	-28	-16	-14496	-4696	1824	6	7	22	4008	-3280	15528	21	16	-9	-4480	6208	14416	-9	6	-24	-13872	9304	560	35	-18	35	1288	4096	16760	29	12	7	125	137	12
-7464	-6920	14276	31	-38	-8	-15984	-4968	1544	64	8	-20	3536	-3592	16720	1	-10	-15	-4448	6352	14960	-46	-6	-31	-15288	9688	64	-65	4	36	392	4408	17032	13	-16	15	128	134	12
-7048	-5544	15040	27	-30	-11	-16632	-4568	1416	26	9	-18	3720	-4112	16768	17	-34	-13	-4120	6176	15048	-34	8	-32	-15768	9040	432	-30	-1	0	752	4152	17480	-13	-73	25	126	137	12
-6788	-5656	14380	-20	-12	-27	-15744	-4264	1888	-5	-16	-16	4360	-3840	16072	28	-31	9	-4536	5984	14040	12	26	-20	-14608	8496	24	7	-16	-16	1640	3808	16288	-33	-64	27	123	140	12
-6476	-4776	13760	-31	8	-33	-14568	-4176	2016	-54	-17	-9	4872	-3520	15312	21	1	32	-4416	5768	13248	33	49	-17	-13312	8232	352	72	-13	-15	2304	3704	15592	-11	-20	16	120	140	12
-6796	-5248	13928	0	-8	-17	-14152	-4600	2288	-40	1	-12	4888	-3712	15224	7	35	44	-3776	6496	12760	49	40	3	-13064	8552	1032	59	10	-2	1936	3440	15312	9	45	14	122	136	12
