#Activity	sitting 
#ActivityID	5 
#Date 10-10-17-34
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10728	-3096	11272	-78	152	-170	-15092	-3612	-4516	-33	-47	-64	-2824	-1996	16232	92	-166	220	-9056	3400	13648	148	-35	-158	-16216	-88	-3860	60	13	188	-1404	1904	16944	255	5	33	127	128	5
-10768	-3164	11212	-116	139	-172	-15128	-3588	-4476	27	-81	-53	-2808	-2036	16356	142	-149	190	-8960	3396	13564	174	-41	-133	-16180	-12	-4012	89	-11	164	-1396	1860	16920	230	-14	32	127	128	5
-10708	-3100	11316	-71	162	-194	-15152	-3588	-4336	75	-69	-12	-2808	-2056	16260	121	-141	148	-8960	3416	13652	153	-46	-154	-16092	-52	-3916	82	-20	167	-1364	1880	16980	226	-32	20	126	128	5
-10696	-3076	11176	-51	129	-195	-15168	-3568	-4392	25	-78	-22	-2804	-1972	16248	148	-151	93	-8996	3344	13580	157	-26	-175	-16128	48	-3948	113	0	200	-1296	1916	16840	234	-39	23	127	128	5
-10712	-3096	11224	-53	130	-154	-15124	-3504	-4480	-17	-38	16	-2768	-1892	16312	117	-93	114	-9048	3380	13628	179	-38	-152	-16104	-100	-4112	70	-24	197	-1304	1852	16920	218	-34	17	127	128	5
-10676	-3044	11312	-34	127	-163	-15092	-3452	-4400	-58	-52	42	-2808	-1888	16352	99	-107	85	-8984	3492	13608	157	-37	-161	-16140	48	-4044	100	-15	174	-1388	1856	16940	288	11	-8	126	128	5
-10740	-3088	11240	-36	104	-147	-15148	-3484	-4504	-48	-18	55	-2808	-1840	16340	78	-110	82	-9032	3404	13628	183	-55	-129	-16076	52	-4080	92	-42	176	-1368	1888	16900	258	7	10	127	128	5
-10756	-3120	11292	-36	132	-188	-15100	-3536	-4476	34	-54	9	-2724	-1916	16360	112	-122	85	-8976	3420	13524	158	-47	-175	-16120	4	-3844	86	-5	203	-1320	1864	16944	239	46	-14	127	128	5
-10692	-3036	11360	-44	167	-167	-15136	-3436	-4356	77	6	3	-2848	-1864	16256	134	-77	108	-9048	3392	13536	114	-27	-158	-16116	8	-3952	38	12	156	-1324	1952	16824	189	-24	-1	126	128	5
-10688	-3080	11336	-73	139	-170	-15116	-3448	-4468	53	-3	-9	-2840	-1884	16244	119	-116	73	-9032	3332	13644	180	-50	-154	-16176	-28	-3940	80	14	124	-1252	1836	16936	178	-13	-12	126	128	5
-10676	-3080	11284	-75	161	-164	-15124	-3428	-4460	29	22	-25	-2824	-1820	16280	113	-128	121	-9016	3392	13664	168	17	-156	-16152	-44	-3944	58	36	134	-1268	1932	16836	231	-13	-22	127	128	5
-10644	-3064	11220	-63	134	-169	-15144	-3404	-4508	-13	-17	-13	-2864	-1780	16244	85	-94	167	-9072	3380	13504	136	-48	-159	-16168	-60	-3920	87	32	125	-1252	1924	16924	237	-10	-39	126	128	5
-10732	-3052	11312	-102	152	-193	-15144	-3360	-4624	-47	-16	-66	-2904	-1820	16252	50	-98	184	-9004	3444	13568	149	-59	-168	-16120	12	-3964	42	-3	143	-1296	1960	16800	218	-22	-23	127	128	5
-10676	-3096	11292	-96	156	-168	-15144	-3464	-4600	-36	-13	-39	-2904	-1840	16332	26	-112	181	-9076	3364	13548	151	-69	-160	-16092	0	-4000	19	-20	147	-1368	1936	16892	196	4	-25	127	128	5
-10728	-3116	11436	-103	194	-182	-15152	-3424	-4468	-3	-18	-79	-2796	-1872	16260	44	-74	170	-9048	3348	13560	122	-57	-137	-16116	16	-3904	45	0	167	-1356	1976	16860	201	41	-12	127	128	5
-10740	-3068	11408	-76	176	-153	-15140	-3564	-4600	44	-67	-55	-2844	-1860	16264	17	-85	149	-9072	3380	13580	129	-52	-182	-16160	20	-4088	97	-19	132	-1416	1920	16924	218	14	-3	127	128	5
-10736	-3044	11240	-45	143	-207	-15140	-3440	-4552	43	-53	-69	-2900	-1836	16216	-52	-113	123	-9032	3420	13588	136	-55	-189	-16160	-20	-4012	90	-18	143	-1432	1964	16960	173	-17	45	127	128	5
-10732	-3120	11304	-102	171	-182	-15168	-3444	-4396	40	-85	-53	-2888	-1784	16384	29	-97	147	-9024	3384	13648	126	-45	-153	-16136	12	-4076	75	-16	85	-1384	1892	16936	202	4	57	127	129	5
-10680	-3104	11276	-80	157	-181	-15100	-3436	-4488	1	-76	-89	-2864	-1752	16336	0	-91	141	-9004	3444	13656	123	-5	-165	-16100	8	-4028	107	-31	74	-1388	1848	16864	181	-4	52	127	129	5
-10692	-3100	11284	-83	140	-192	-15152	-3416	-4484	-80	-70	-81	-2852	-1776	16356	-26	-121	135	-9060	3412	13592	163	-69	-139	-16172	28	-4068	102	-55	119	-1364	1888	16904	216	-1	66	127	129	5
-10684	-3092	11164	-91	163	-171	-15124	-3468	-4448	-68	-83	-81	-2856	-1808	16340	-27	-89	176	-9072	3408	13608	119	-48	-157	-16144	28	-4108	91	-28	89	-1400	1848	16832	227	11	42	127	129	5
-10760	-3084	11388	-88	165	-156	-15144	-3496	-4532	-50	-81	-114	-2944	-1840	16256	-29	-160	194	-9004	3396	13732	159	-86	-172	-16112	-20	-4028	35	-40	126	-1360	1888	16984	219	-17	82	127	129	5
-10768	-3012	11244	-68	156	-225	-15184	-3524	-4448	-4	-114	-118	-2820	-1932	16188	-17	-157	177	-9004	3380	13688	101	-4	-165	-16080	0	-4004	-3	-49	98	-1332	1928	16836	222	-36	100	127	129	5
-10692	-3084	11228	-115	153	-214	-15144	-3528	-4556	31	-88	-101	-2772	-1884	16348	-13	-127	178	-9000	3376	13696	156	-67	-149	-16152	56	-4036	83	17	92	-1284	1896	16936	256	-23	98	127	129	5
-10704	-3128	11272	-123	167	-203	-15164	-3448	-4512	-40	-49	-116	-2772	-1864	16284	-51	-142	177	-9048	3384	13588	126	-43	-140	-16108	-40	-3980	90	-51	87	-1352	1884	16880	262	-10	78	127	129	5
-10660	-3112	11356	-104	183	-188	-15120	-3492	-4492	-3	-69	-120	-2836	-1912	16304	-31	-111	169	-9016	3384	13536	138	-52	-162	-16108	-20	-4048	77	-31	111	-1384	1848	16856	221	44	81	127	129	5
-10688	-3088	11296	-106	175	-142	-15132	-3500	-4540	-44	-78	-123	-2812	-1904	16336	-7	-131	178	-9028	3400	13572	111	-41	-138	-16100	-24	-4028	60	-2	78	-1372	1904	16976	194	-14	108	127	129	5
-10636	-3088	11280	-113	174	-168	-15136	-3480	-4460	-43	-63	-120	-2800	-1952	16384	-24	-160	189	-9040	3388	13588	118	-81	-169	-16124	0	-4068	77	-29	93	-1380	1968	16820	186	-27	76	127	129	5
-10688	-3040	11336	-82	166	-177	-15060	-3512	-4468	-6	-50	-90	-2784	-1932	16296	29	-168	153	-9016	3416	13668	135	-47	-176	-16116	-20	-3980	41	-37	106	-1404	1852	16908	142	-2	32	127	129	5
-10756	-3108	11192	-118	180	-178	-15176	-3540	-4468	7	-49	-103	-2720	-1900	16400	19	-146	154	-9092	3404	13532	111	-39	-191	-16084	32	-3956	49	-19	94	-1288	1908	16864	147	7	55	127	129	5
-10728	-3128	11176	-105	171	-181	-15136	-3548	-4280	32	-29	-95	-2784	-2000	16344	17	-135	167	-9040	3368	13632	130	-74	-145	-16160	-64	-4036	53	-12	101	-1380	1944	16892	172	30	30	127	129	5
-10740	-3032	11240	-99	170	-207	-15152	-3492	-4524	-4	-11	-90	-2756	-1916	16328	14	-129	147	-9040	3376	13644	141	-53	-164	-16136	-112	-4032	96	-21	108	-1304	1856	16852	152	14	-1	126	129	5
-10700	-3076	11156	-114	158	-176	-15180	-3496	-4460	0	-38	-115	-2828	-1904	16432	36	-101	131	-9052	3408	13652	177	-80	-151	-16172	-12	-3980	118	-38	112	-1372	1824	16832	167	5	34	126	129	5
-10668	-3112	11200	-106	138	-179	-15140	-3512	-4496	0	-14	-54	-2800	-1880	16280	15	-88	133	-9116	3352	13648	129	-38	-182	-16056	12	-4012	92	-24	116	-1320	1836	16828	181	29	25	127	129	5
-10744	-3088	11340	-77	141	-163	-15128	-3488	-4568	-18	0	-58	-2772	-1872	16396	52	-127	141	-9052	3436	13656	139	-54	-131	-16148	-4	-3988	48	-22	73	-1336	1852	16792	201	7	21	126	129	5
-10716	-3104	11212	-59	143	-186	-15156	-3512	-4468	-5	-34	-57	-2804	-1916	16240	41	-106	120	-8984	3420	13620	161	-42	-178	-16076	-28	-3856	27	-14	108	-1392	1840	16860	248	45	5	126	129	5
-10732	-3108	11216	-94	160	-179	-15112	-3552	-4496	21	-7	-56	-2792	-1880	16192	62	-174	138	-9032	3388	13692	109	-28	-168	-16100	-40	-4004	105	-16	117	-1392	1888	16832	242	-3	39	126	128	5
-10684	-3104	11300	-88	144	-193	-15124	-3476	-4408	48	-21	-53	-2752	-1928	16316	61	-154	119	-8984	3416	13684	96	-72	-168	-16116	-28	-4016	110	-8	116	-1388	1920	16936	139	-59	83	126	129	5
